id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style
1,Business,strategy,market positioning,What does the document say about market positioning?,The context indicates that market positioning is linked to causal factor number 2. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to causal factor number 2, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
2,Business,strategy,market positioning,What is the correct answer regarding market positioning?,The context indicates that market positioning is linked to decrease number 17. A time window is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to decrease number 17, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
3,Healthcare,diagnosis,type 2 diabetes,What does the document say about type 2 diabetes?,The document explains that type 2 diabetes is linked to warning sign number 4. A time window is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to warning sign number 4, and the passage also mentions a time window.","Since type 2 diabetes mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
4,Food,cooking,spices overview,Which detail is supported by the context for spices overview?,The context indicates that spices overview is linked to threshold number 7. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices overview is linked to threshold number 7, and the passage also mentions a best practice.","The key point is that spices overview is linked to threshold number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
5,Education,assignment,research methods,What is the correct answer regarding research methods?,The passage states that research methods is linked to guideline number 7. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods is linked to guideline number 7, and the passage also mentions a follow-up action.","The key point is that research methods is linked to guideline number 7, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article
6,Technology,security,password hashing,What does the document say about password hashing?,The document explains that password hashing is linked to guideline number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the security use case.,"The key point is that password hashing is linked to guideline number 10, and the passage also mentions a weekly review.","Since password hashing mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
7,Travel,safety,emergency contacts,What does the document say about emergency contacts?,The passage states that emergency contacts is linked to increase number 17. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to increase number 17, and the passage also mentions a priority order.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
8,Travel,budget travel,daily spending,What is the correct answer regarding daily spending?,The context indicates that daily spending is linked to deadline number 16. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to deadline number 16, and the passage also mentions a estimated cost.","The key point is that daily spending is not linked to deadline number 16; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note
9,Legal,compliance,record keeping,What does the document say about record keeping?,The source says that record keeping is linked to procedure number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping is linked to procedure number 4, and the passage also mentions a weekly review.","The key point is that record keeping is not linked to procedure number 4; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo
10,Sports,statistics,win rate,"According to the provided context, what is the key point about win rate?",The document explains that win rate is linked to guideline number 14. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate is linked to guideline number 14, and the passage also mentions a priority order.","The key point is that win rate is linked to guideline number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
