faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'Since type 2 diabetes mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9185652732849121, 'contradiction': 0.07332529127597809, 'entailment': 0.008109448477625847}}]"
"[{'claim': 'The key point is that spices overview is linked to threshold number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9082037806510925, 'contradiction': 0.09081180393695831, 'entailment': 0.0009843300795182586}}]"
"[{'claim': 'The key point is that research methods is linked to guideline number 7, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7373937964439392, 'entailment': 0.2186209112405777, 'contradiction': 0.04398535564541817}}]"
"[{'claim': 'Since password hashing mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9430993795394897, 'contradiction': 0.049228500574827194, 'entailment': 0.007672024425119162}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that daily spending is not linked to deadline number 16; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9985554814338684, 'neutral': 0.0009947281796485186, 'entailment': 0.0004498724010773003}}]"
"[{'claim': 'The key point is that record keeping is not linked to procedure number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9963118433952332, 'neutral': 0.0030326039995998144, 'entailment': 0.0006555520812980831}}]"
"[{'claim': 'The key point is that win rate is linked to guideline number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8919241428375244, 'contradiction': 0.1075102761387825, 'entailment': 0.0005655044806189835}}]"
"[{'claim': 'The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9004154801368713, 'neutral': 0.0985383465886116, 'contradiction': 0.0010461922502145171}}]"
"[{'claim': 'The key point is that data retention benchmark is linked to guideline number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9278081059455872, 'contradiction': 0.07165423035621643, 'entailment': 0.0005376299377530813}}]"
